name,state,description,category,best_month,rating
Mumbai,Maharashtra,"The City of Dreams, Mumbai is India's financial capital, famous for Bollywood, the Gateway of India, Marine Drive, and vibrant street food.",Beach Paradise,October,4.6
Guwahati,Assam,"Gateway to Northeast India, Guwahati is known for the mighty Brahmaputra river, Kamakhya Temple, and lush green hills.",Beach Paradise,October,4.6
Hyderabad,Telangana,"A city of pearls and biryani, Hyderabad blends rich history with modern IT hubs. Visit Charminar, Golconda Fort, and Hussain Sagar Lake.",Spiritual Journey,September,3.9
Shimla,Himachal Pradesh,"A charming hill station, Shimla is famous for its colonial architecture, Mall Road, and scenic mountain views.",Spiritual Journey,February,4.0
Nagpur,Maharashtra,"Known as the Orange City, Nagpur is a major commercial and political center with beautiful lakes and temples.",Spiritual Journey,January,4.7
Mysore,Karnataka,"Famous for its grand Mysore Palace, Dasara festival, and sandalwood, Mysore is a city of royal heritage.",Luxury / Resort,February,3.9
Bhopal,Madhya Pradesh,"The City of Lakes, Bhopal offers a blend of scenic beauty, historic mosques, and vibrant bazaars.",Spiritual Journey,November,4.8
Indore,Madhya Pradesh,"A food lover's paradise, Indore is known for its street food, Rajwada Palace, and bustling Sarafa Bazaar.",Luxury / Resort,December,3.3
Chandigarh,Chandigarh,"India's first planned city, Chandigarh is famous for its Rock Garden, Sukhna Lake, and modern architecture.",Wildlife Safari,December,4.0
Ahmedabad,Gujarat,"A UNESCO World Heritage City, Ahmedabad is known for Sabarmati Ashram, vibrant festivals, and delicious Gujarati cuisine.",Extreme Adventures,October,4.6
Jodhpur,Rajasthan,"The Blue City of India, Jodhpur boasts the majestic Mehrangarh Fort, blue houses, and vibrant markets.",Cultural / Festival,August,3.9
Kolkata,West Bengal,"The cultural capital of India, Kolkata is famous for Howrah Bridge, Victoria Memorial, and its literary heritage.",Nature Retreat,May,3.6
Bangalore,Karnataka,"Known as the Silicon Valley of India, Bangalore is a vibrant city with beautiful parks, cafes, and a pleasant climate.",Romantic Getaway,February,3.6
Lucknow,Uttar Pradesh,"The City of Nawabs, Lucknow is renowned for its Mughlai cuisine, Imambaras, and rich cultural heritage.",Luxury / Resort,April,4.5
Pune,Maharashtra,"A lively city with a youthful vibe, Pune is known for its educational institutions, forts, and pleasant weather.",Nature Retreat,October,4.3
Jaipur,Rajasthan,"The Pink City, Jaipur is famous for its palaces, forts, colorful bazaars, and Rajasthani culture.",Spiritual Journey,January,4.0
Puri,Odisha,"A sacred coastal city, Puri is famous for the Jagannath Temple and its beautiful beaches.",Spiritual Journey,March,4.0
Coimbatore,Tamil Nadu,"Known as the Manchester of South India, Coimbatore is a major textile hub with pleasant weather and scenic surroundings.",Nature Retreat,December,4.8
Agra,Uttar Pradesh,"Home to the iconic Taj Mahal, Agra is a city of love, history, and stunning Mughal architecture.",Cultural / Festival,January,4.0
Chennai,Tamil Nadu,"A vibrant metropolis, Chennai is known for its Marina Beach, temples, and rich South Indian culture.",Romantic Getaway,February,3.5
Varanasi,Uttar Pradesh,"The spiritual heart of India, Varanasi is famous for its ghats, temples, and the holy Ganges River.",Romantic Getaway,December,4.0
Surat,Gujarat,"A bustling diamond and textile city, Surat is known for its food, shopping, and lively atmosphere.",Beach Paradise,May,3.4
Shimla,Himachal Pradesh,"A charming hill station, Shimla is famous for its colonial architecture, Mall Road, and scenic mountain views.",Spiritual Journey,August,4.1
Delhi,Delhi,"India's capital, Delhi is a blend of ancient monuments, bustling markets, and modern city life.",Cultural / Festival,June,3.7
Manali,Himachal Pradesh,"A popular hill station, Manali is known for its adventure sports, scenic valleys, and vibrant cafes.",Mountain Adventures,September,3.6
Goa,Goa,"India's party capital, Goa is famous for its beaches, nightlife, and Portuguese heritage.",Cultural / Festival,March,3.5
Rishikesh,Uttarakhand,"The Yoga Capital of the World, Rishikesh is a spiritual town on the banks of the Ganges, known for adventure sports and ashrams.",Romantic Getaway,February,4.1
Udaipur,Rajasthan,"The City of Lakes, Udaipur is renowned for its palaces, lakes, and romantic boat rides.",Mountain Adventures,March,3.3
Srinagar,Jammu and Kashmir,"Paradise on Earth, Srinagar is famous for its Dal Lake, houseboats, and Mughal gardens.",Heritage Exploration,September,3.1
Aurangabad,Maharashtra,"Gateway to the Ajanta and Ellora caves, Aurangabad is rich in history and culture.",Beach Paradise,March,3.7
Patna,Bihar,"An ancient city on the Ganges, Patna is known for its historical sites and vibrant culture.",Nature Retreat,April,4.4
Amritsar,Punjab,"Home to the Golden Temple, Amritsar is a spiritual and cultural center of Sikhism.",Extreme Adventures,December,3.6
Dehradun,Uttarakhand,"Nestled in the foothills of the Himalayas, Dehradun is known for its scenic beauty and educational institutions.",Luxury / Resort,May,4.3
Madurai,Tamil Nadu,"One of the oldest cities in India, Madurai is famous for the Meenakshi Temple and vibrant festivals.",Heritage Exploration,August,4.8
Hyderabad,Telangana,"A city of pearls and biryani, Hyderabad blends rich history with modern IT hubs. Visit Charminar, Golconda Fort, and Hussain Sagar Lake.",Spiritual Journey,September,3.9
Shimla,Himachal Pradesh,"A charming hill station, Shimla is famous for its colonial architecture, Mall Road, and scenic mountain views.",Spiritual Journey,February,4.0
Nagpur,Maharashtra,"Known as the Orange City, Nagpur is a major commercial and political center with beautiful lakes and temples.",Spiritual Journey,January,4.7
Nagpur,Maharashtra,"Known as the Orange City, Nagpur is a major commercial and political center with beautiful lakes and temples.",Spiritual Journey,January,4.7
Mysore,Karnataka,"Famous for its grand Mysore Palace, Dasara festival, and sandalwood, Mysore is a city of royal heritage.",Luxury / Resort,February,3.9
Mysore,Karnataka,"Famous for its grand Mysore Palace, Dasara festival, and sandalwood, Mysore is a city of royal heritage.",Luxury / Resort,February,3.9
Bhopal,Madhya Pradesh,"The City of Lakes, Bhopal offers a blend of scenic beauty, historic mosques, and vibrant bazaars.",Spiritual Journey,November,4.8
Bhopal,Madhya Pradesh,"The City of Lakes, Bhopal offers a blend of scenic beauty, historic mosques, and vibrant bazaars.",Luxury / Resort,December,3.3
