destination_name,hotel_name,price_per_night,rating,amenities
Lucknow,The Grand Nawab Hotel,4122,4.8,"Parking, Bar, WiFi, Gym"
Jodhpur,Umaid Bhawan Palace,13943,4.7,"Restaurant, Bar, Spa, Parking"
Guwahati,Hotel Brahmaputra Ashok,5634,4.5,"Gym, Bar, AC, Pool"
Hyderabad,Taj Falaknuma Palace,8935,3.7,"Bar, Pool, Parking, AC"
Goa,The Leela Goa,4912,4.1,"Pool, Bar, Gym, WiFi"
Ahmedabad,Hyatt Regency Ahmedabad,13201,3.9,"Bar, Pool, Restaurant, AC"
Agra,ITC Mughal,1606,3.3,"Restaurant, Bar, WiFi, Pool"
Lucknow,Taj Mahal Lucknow,9617,4.8,"WiFi, Restaurant, AC, Pool"
Guwahati,Radisson Blu Hotel Guwahati,2315,4.7,"Bar, Parking, Restaurant, Pool"
Surat,The Gateway Hotel Athwalines,1588,4.2,"Pool, Restaurant, Bar, Parking"
Coimbatore,Vivanta Coimbatore,13235,3.2,"AC, Bar, Restaurant, WiFi"
Kolkata,The Oberoi Grand,3725,4.4,"WiFi, Gym, Parking, Bar"
Hyderabad,ITC Kakatiya,12170,4.6,"Parking, AC, WiFi, Spa"
Udaipur,Taj Lake Palace,11153,4.4,"Gym, Spa, AC, Restaurant"
Amritsar,Hyatt Regency Amritsar,11451,3.5,"Spa, Restaurant, WiFi, Pool"
Goa,Taj Exotica Resort & Spa,12101,4.1,"AC, Pool, Parking, Spa"
Mysore,Radisson Blu Plaza Hotel Mysore,11468,4.9,"Spa, Pool, Parking, AC"
Lucknow,Hotel Levana,14981,4.0,"Pool, Gym, Spa, Parking"
Goa,Alila Diwa Goa,5847,5.0,"Spa, WiFi, Restaurant, Pool"
Varanasi,BrijRama Palace,1132,4.1,"WiFi, Spa, Restaurant, Pool"
Goa,Grand Hyatt Goa,13709,4.6,"Restaurant, AC, Gym, Bar"
Pune,The Corinthians Resort & Club,5106,4.4,"Parking, Restaurant, WiFi, Bar"
Guwahati,Hotel Rajmahal,13920,3.9,"Restaurant, Gym, AC, WiFi"
Manali,Solang Valley Resort,6352,4.5,"Parking, AC, Bar, Spa"
Chandigarh,Hotel Shivalikview,9697,4.0,"Spa, Bar, AC, Parking"
Nagpur,Radisson Blu Hotel Nagpur,14213,3.6,"Restaurant, Bar, WiFi, Pool"
Guwahati,Vivanta Guwahati,3529,3.1,"Spa, Parking, Gym, Pool"
Guwahati,Radisson Blu Hotel Guwahati,2315,4.7,"Bar, Parking, Restaurant, Pool"
Surat,The Gateway Hotel Athwalines,1588,4.2,"Pool, Restaurant, Bar, Parking"
Coimbatore,Vivanta Coimbatore,13235,3.2,"AC, Bar, Restaurant, WiFi"
Kolkata,The Oberoi Grand,3725,4.4,"WiFi, Gym, Parking, Bar"
Hyderabad,ITC Kakatiya,12170,4.6,"Parking, AC, WiFi, Spa"
Udaipur,Taj Lake Palace,11153,4.4,"Gym, Spa, AC, Restaurant"
Amritsar,Hyatt Regency Amritsar,11451,3.5,"Spa, Restaurant, WiFi, Pool"
Goa,Taj Exotica Resort & Spa,12101,4.1,"AC, Pool, Parking, Spa"
Mysore,Radisson Blu Plaza Hotel Mysore,11468,4.9,"Spa, Pool, Parking, AC"
Lucknow,Hotel Levana,14981,4.0,"Pool, Gym, Spa, Parking"
Goa,Alila Diwa Goa,5847,5.0,"Spa, WiFi, Restaurant, Pool"
Varanasi,BrijRama Palace,1132,4.1,"WiFi, Spa, Restaurant, Pool"
Goa,Grand Hyatt Goa,13709,4.6,"Restaurant, AC, Gym, Bar"
Pune,The Corinthians Resort & Club,5106,4.4,"Parking, Restaurant, WiFi, Bar"
Guwahati,Hotel Rajmahal,13920,3.9,"Restaurant, Gym, AC, WiFi"
Manali,Solang Valley Resort,6352,4.5,"Parking, AC, Bar, Spa"
Chandigarh,Hotel Shivalikview,9697,4.0,"Spa, Bar, AC, Parking"
Nagpur,Radisson Blu Hotel Nagpur,14213,3.6,"Restaurant, Bar, WiFi, Pool"
Jodhpur,Ajit Bhawan,3306,4.5,"Pool, Bar, Restaurant, Gym"
Puri,Mayfair Waves,6992,3.2,"Bar, WiFi, Parking, Spa"
Puri,Hotel Holiday Resort,8451,3.7,"Spa, Gym, Pool, Parking"
Pune,Hyatt Regency Pune,12056,3.5,"WiFi, Spa, Bar, Parking"
Manali,The Himalayan,6873,3.7,"Parking, AC, Spa, Pool"
Hyderabad,ITC Kakatiya,12170,4.6,"Parking, AC, WiFi, Spa"
Udaipur,Taj Lake Palace,11153,4.4,"Gym, Spa, AC, Restaurant"
Amritsar,Hyatt Regency Amritsar,11451,3.5,"Spa, Restaurant, WiFi, Pool"
Goa,Taj Exotica Resort & Spa,12101,4.1,"AC, Pool, Parking, Spa"
Mysore,Radisson Blu Plaza Hotel Mysore,11468,4.9,"Spa, Pool, Parking, AC"
Lucknow,Hotel Levana,14981,4.0,"Pool, Gym, Spa, Parking"
Goa,Alila Diwa Goa,5847,5.0,"Spa, WiFi, Restaurant, Pool"
Varanasi,BrijRama Palace,1132,4.1,"WiFi, Spa, Restaurant, Pool"
Goa,Grand Hyatt Goa,13709,4.6,"Restaurant, AC, Gym, Bar"
Pune,The Corinthians Resort & Club,5106,4.4,"Parking, Restaurant, WiFi, Bar"
Guwahati,Hotel Rajmahal,13920,3.9,"Restaurant, Gym, AC, WiFi"
Manali,Solang Valley Resort,6352,4.5,"Parking, AC, Bar, Spa"
Chandigarh,Hotel Shivalikview,9697,4.0,"Spa, Bar, AC, Parking"
